"ENROLLMENT ID - BUYER","ENROLLMENT STATE - BUYER","PROVIDER TYPE CODE - BUYER","PROVIDER TYPE TEXT - BUYER","NPI - BUYER","MULTIPLE NPI FLAG - BUYER","CCN - BUYER","ASSOCIATE ID - BUYER","ORGANIZATION NAME - BUYER","DOING BUSINESS AS NAME - BUYER","CHOW TYPE CODE","CHOW TYPE TEXT","EFFECTIVE DATE","ENROLLMENT ID - SELLER","ENROLLMENT STATE - SELLER","PROVIDER TYPE CODE - SELLER","PROVIDER TYPE TEXT - SELLER","NPI - SELLER","MULTIPLE NPI FLAG - SELLER","CCN - SELLER","ASSOCIATE ID - SELLER","ORGANIZATION NAME - SELLER","DOING BUSINESS AS NAME - SELLER"
O20021223000017,WI,00-09,PART A PROVIDER - HOSPITAL,1427007384,N,520136,7517875628,ASCENSION SE WISCONSIN HOSPITAL INC,ASCENSION SE WISCONSIN HOSPITAL,AM,ACQUISITION/MERGER,06/01/2018,O20080219000355,WI,00-09,PART A PROVIDER - HOSPITAL,1457479552,N,520204,0345323010,"WHEATON FRANCISCAN HEALTHCARE - FRANKLIN, INC.",WHEATON FRANCISCAN HEALTHCARE - FRANKLIN
O20030416000003,WI,00-09,PART A PROVIDER - HOSPITAL,1871656082,N,520051,5890604722,COLUMBIA ST MARYS HOSPITAL MILWAUKEE INC,ASCENSION COLUMBIA ST. MARY'S HOSPITAL,AM,ACQUISITION/MERGER,04/01/2022,O20030417000001,WI,00-09,PART A PROVIDER - HOSPITAL,1316000706,N,520027,3779492616,"COLUMBIA ST MARY'S HOSPITAL OZAUKEE, INC.",ASCENSION COLUMBIA ST MARY'S HOSPITAL OZAUKEE
O20030506000004,MN,00-09,PART A PROVIDER - HOSPITAL,1316904287,Y,240115,4587573613,ALLINA HEALTH SYSTEM,MERCY HOSPITAL,AM,ACQUISITION/MERGER,01/01/2017,O20030506000003,MN,00-09,PART A PROVIDER - HOSPITAL,1285692145,Y,240132,4587573613,ALLINA HEALTH SYSTEM,UNITY HOSPITAL
O20030516000003,MN,00-09,PART A PROVIDER - HOSPITAL,1760440713,N,24S038,4587573613,ALLINA HEALTH SYSTEM,,AM,ACQUISITION/MERGER,08/01/2022,O20131127000153,MN,00-09,PART A PROVIDER - HOSPITAL,1306273842,Y,24S059,4587573613,ALLINA HEALTH SYSTEM,REGINA HOSPITAL
O20030521000061,NC,00-09,PART A PROVIDER - HOSPITAL,1043218944,Y,340040,5991615445,PITT COUNTY MEMORIAL HOSPITAL INC,ECU HEALTH MEDICAL CENTER,AM,ACQUISITION/MERGER,10/01/2021,O20110907000889,NC,00-09,PART A PROVIDER - HOSPITAL,1679867170,N,340186,7214107945,EAST CAROLINA HEALTH-BEAUFORT INC,VIDANT BEAUFORT HOSPITAL
O20030529000036,TX,00-09,PART A PROVIDER - HOSPITAL,1528064649,N,450229,1658281993,HENDRICK MEDICAL CENTER,,AM,ACQUISITION/MERGER,10/27/2020,O20030908000006,TX,00-09,PART A PROVIDER - HOSPITAL,1851344162,N,450558,2769393198,ARMC LP,ABILENE REGIONAL MEDICAL CENTER
O20030623000026,NC,00-09,PART A PROVIDER - HOSPITAL,1144211301,Y,340047,6002725272,NORTH CAROLINA BAPTIST HOSPITAL,NORTH CAROLINA BAPTIST HOSPITAL,AM,ACQUISITION/MERGER,03/02/2024,O20040108000914,NC,00-09,PART A PROVIDER - HOSPITAL,1154326379,N,340187,1759280647,DAVIE MEDICAL CENTER,DAVIE MEDICAL CENTER
O20030726000001,CA,00-09,PART A PROVIDER - HOSPITAL,1083815872,Y,050320,3779494521,ALAMEDA HEALTH SYSTEM,HIGHLAND HOSPITAL,AM,ACQUISITION/MERGER,09/01/2019,O20131018001428,CA,00-09,PART A PROVIDER - HOSPITAL,1104267848,N,050773,3779494521,ALAMEDA HEALTH SYSTEM,SAN LEANDRO HOSPITAL
O20030821000034,WA,00-09,PART A PROVIDER - HOSPITAL,1306883228,N,500016,4880504596,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH HOSPITAL,AM,ACQUISITION/MERGER,07/01/2023,O20130711000544,WA,00-09,PART A PROVIDER - HOSPITAL,1295071520,Y,500148,9537309869,WENATCHEE VALLEY HOSPITAL,CONFLUENCE HEALTH WENATCHEE VALLEY HOSPITAL & CLINICS
O20031010000010,NM,00-09,PART A PROVIDER - HOSPITAL,1689747552,Y,320001,7618889528,UNM HOSPITAL,,AM,ACQUISITION/MERGER,01/01/2024,O20130320000388,NM,00-09,PART A PROVIDER - HOSPITAL,1649556200,N,320089,8022278936,"UNM SANDOVAL REGIONAL MEDICAL CENTER, INC",
O20040105000092,NY,00-09,PART A PROVIDER - HOSPITAL,1972523348,Y,330393,2365341856,UNIVERSITY HOSPITAL AT STONY BROOK,,AM,ACQUISITION/MERGER,07/01/2019,O20031215000229,NY,00-09,PART A PROVIDER - HOSPITAL,1881690691,N,330088,5193632099,EASTERN LONG ISLAND HOSPITAL ASSOC INC,STONY BROOK EASTERN LONG ISLAND
O20040326000922,OK,00-09,PART A PROVIDER - HOSPITAL,1144228487,N,370091,9537061171,"SAINT FRANCIS HOSPITAL, INC.",SAINT FRANCIS HOSPITAL,AM,ACQUISITION/MERGER,01/01/2019,O20080530000175,OK,00-06,PART A PROVIDER - HOME HEALTH AGENCY,1750380218,N,377107,5890766851,SAINT FRANCIS HOME HEALTH INC.,
O20040510001709,WA,00-09,PART A PROVIDER - HOSPITAL,1326002049,N,500008,3274445150,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON MEDICAL CENTER,AM,ACQUISITION/MERGER,01/01/2020,O20040504000424,WA,00-09,PART A PROVIDER - HOSPITAL,1700861580,N,500001,0648184069,UW MEDICINE NORTHWEST,UW MEDICINE/NORTHWEST HOSPITAL
O20040813000250,NY,00-09,PART A PROVIDER - HOSPITAL,1346380870,Y,330233,4284545799,THE BROOKDALE HOSPITAL MEDICAL CENTER,,AM,ACQUISITION/MERGER,01/01/2021,O20051109000879,NY,00-09,PART A PROVIDER - HOSPITAL,1356307656,N,330201,0648163741,KINGSBROOK JEWISH MEDICAL CENTER,
O20041015000796,NJ,00-09,PART A PROVIDER - HOSPITAL,1275583726,N,310092,0042205387,"CAPITAL HEALTH SYSTEM, INC.",CAPITAL HEALTH REGIONAL MEDICAL CENTER,AM,ACQUISITION/MERGER,12/21/2022,O20040730000832,NJ,00-09,PART A PROVIDER - HOSPITAL,1255419651,N,310021,5395654404,ST. FRANCIS MEDICAL CENTER,CAPITAL HEALTH REGIONAL MEDICAL CENTER
O20041209000885,TX,00-09,PART A PROVIDER - HOSPITAL,1306897277,N,450634,6305802489,"COLUMBIA MEDICAL CENTER OF DENTON SUBSIDIARY, L.P.",MEDICAL CITY DENTON,AM,ACQUISITION/MERGER,06/01/2024,O20240222001324,TX,00-09,PART A PROVIDER - HOSPITAL,1831975572,N,450271,4789028655,DECATUR HEALTH SERVICES LLC,MEDICAL CITY DECATUR
O20050204000053,TX,00-09,PART A PROVIDER - HOSPITAL,1285798918,N,450044,0143271395,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,UT SOUTHWESTERN UNIVERSITY HOSPITAL,AM,ACQUISITION/MERGER,09/01/2019,O20050112000074,TX,00-09,PART A PROVIDER - HOSPITAL,1417010653,N,450766,2264480680,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS,UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY
O20050328000217,NY,00-09,PART A PROVIDER - HOSPITAL,1043267727,N,330180,6507770070,"SAMARITAN HOSPITAL OF TROY, NEW YORK",SAMARITAN HOSPITAL,AM,ACQUISITION/MERGER,01/01/2019,O20070911000595,NY,00-09,PART A PROVIDER - HOSPITAL,1811982911,Y,330232,8628069432,"SETON HEALTH SYSTEM, INC","SETON HEALTH SYSTEM, ST MARY'S HOSPITAL"
O20050328000217,NY,00-09,PART A PROVIDER - HOSPITAL,1043267727,N,330180,6507770070,"SAMARITAN HOSPITAL OF TROY, NEW YORK",SAMARITAN HOSPITAL,AM,ACQUISITION/MERGER,01/01/2020,O20050328000238,NY,00-09,PART A PROVIDER - HOSPITAL,1801837539,N,330003,1052203312,"MEMORIAL HOSPITAL, ALBANY N.Y.",ALBANY MEMORIAL HOSPITAL
O20050328000217,NY,00-09,PART A PROVIDER - HOSPITAL,1043267727,N,330180,6507770070,"SAMARITAN HOSPITAL OF TROY, NEW YORK",SAMARITAN HOSPITAL,AM,ACQUISITION/MERGER,10/01/2020,O20101220000138,NY,00-09,PART A PROVIDER - HOSPITAL,1013234723,N,330409,7810020591,"BURDETT CARE CENTER, INC.",BURDETT CARE CENTER
O20050527000160,NY,00-09,PART A PROVIDER - HOSPITAL,1285641514,N,330195,2567375421,LONG ISLAND JEWISH MEDICAL CENTER,,AM,ACQUISITION/MERGER,01/14/2016,O20060510000056,NY,00-09,PART A PROVIDER - HOSPITAL,1316954449,N,330353,3173514569,FOREST HILLS HOSPITAL,
O20050719000390,MT,00-09,PART A PROVIDER - HOSPITAL,1417945627,Y,270051,5294644381,KALISPELL REGIONAL MEDICAL CENTER INC,LOGAN HEALTH MEDICAL CENTER,AM,ACQUISITION/MERGER,01/01/2021,O20030805000027,MT,00-09,PART A PROVIDER - HOSPITAL,1124007638,Y,270087,5799696423,HEALTHCENTER NORTHWEST LLC,THE HEALTH CENTER
O20050722000049,VA,00-09,PART A PROVIDER - HOSPITAL,1154419737,Y,490075,5496782385,DANVILLE REGIONAL MEDICAL CENTER LLC,SOVAH HEALTH,AM,ACQUISITION/MERGER,10/01/2017,O20030409000002,VA,00-09,PART A PROVIDER - HOSPITAL,1386720183,N,490079,0446169403,PHC-MARTINSVILLE INC,SOVAH HEALTH MARTINSVILLE
O20050825000830,OH,00-09,PART A PROVIDER - HOSPITAL,1427056258,N,362019,8022049469,"SELECT SPECIALTY HOSPITAL - CINCINNATI, INC.",SELECT SPECIALTY HOSPITAL - CINCINNATI,AM,ACQUISITION/MERGER,11/01/2017,O20041105000314,OH,00-09,PART A PROVIDER - HOSPITAL,1427050053,N,362034,7012970585,"REGENCY HOSPITAL OF CINCINNATI, LLC",REGENCY HOSPITAL OF CINCINNATI
O20051024000360,SC,00-09,PART A PROVIDER - HOSPITAL,1699756221,N,420051,7416851852,"MCLEOD REGIONAL MEDICAL CENTER OF THE PEE DEE, INC",,AM,ACQUISITION/MERGER,12/31/2020,O20050627000089,SC,00-09,PART A PROVIDER - HOSPITAL,1083695621,N,420057,7416851852,"MCLEOD REGIONAL MEDICAL CENTER OF THE PEE DEE, INC",MCLEOD MEDICAL CENTER - DARLINGTON
O20051108000578,IL,00-09,PART A PROVIDER - HOSPITAL,1558479212,Y,140048,7810800935,ADVOCATE HEALTH AND HOSPITALS CORPORATION,ADVOCATE SOUTHLAND HEALTH NETWORK,AM,ACQUISITION/MERGER,12/01/2020,O20101122000489,IL,00-09,PART A PROVIDER - HOSPITAL,1467560128,N,140250,7810800935,ADVOCATE HEALTH AND HOSPITALS CORPORATION,ADVOCATE SOUTH SUBURBAN HOSPITAL
O20051109000906,TN,00-09,PART A PROVIDER - HOSPITAL,1942200522,N,442015,2567480379,"SELECT SPECIALTY HOSPITAL - NORTH KNOXVILLE, INC.",SELECT SPECIALTY HOSPITAL NORTH KNOXVILLE,AM,ACQUISITION/MERGER,01/01/2018,O20030610000026,TN,00-09,PART A PROVIDER - HOSPITAL,1902806722,N,442012,9638089808,"SELECT SPECIALTY HOSPITAL - KNOXVILLE, INC.",SELECT SPECIALTY HOSPITAL-KNOXVILLE
O20061121000276,NM,00-09,PART A PROVIDER - HOSPITAL,1427058510,Y,320005,4587559505,"SAN JUAN REGIONAL MEDICAL CENTER, INC.",,AM,ACQUISITION/MERGER,07/01/2020,O20080318000755,NM,00-09,PART A PROVIDER - HOSPITAL,1679573778,N,323029,4789760638,SAN JUAN REGIONAL REHABILITATION HOSPITAL INC,
O20061219000471,MO,00-09,PART A PROVIDER - HOSPITAL,1699769901,Y,260141,6800704560,CURATORS OF THE UNIVERSITY OF MISSOURI,UNIVERSITY OF MISSOURI HEALTH CARE,AM,ACQUISITION/MERGER,01/01/2024,O20060110000106,MO,00-09,PART A PROVIDER - HOSPITAL,1174597892,N,260047,4688573686,CAPITAL REGION MEDICAL CENTER,CAPITAL REGION MEDICAL CENTER
O20061219000471,MO,00-09,PART A PROVIDER - HOSPITAL,1699769901,Y,260141,6800704560,CURATORS OF THE UNIVERSITY OF MISSOURI,UNIVERSITY OF MISSOURI HEALTH CARE,AM,ACQUISITION/MERGER,01/01/2024,O20070601000199,MO,00-09,PART A PROVIDER - HOSPITAL,1093749889,N,26T047,4688573686,CAPITAL REGION MEDICAL CENTER,CAPITAL REGION MEDICAL CENTER
O20070319000002,NY,00-09,PART A PROVIDER - HOSPITAL,1932182599,N,330224,5597665844,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,,AM,ACQUISITION/MERGER,09/23/2020,O20091022000070,NY,00-09,PART A PROVIDER - HOSPITAL,1265484489,N,330004,0749190536,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,
O20070517000581,IN,00-09,PART A PROVIDER - HOSPITAL,1063457380,N,150048,5799695920,REID HOSPITAL & HEALTH CARE SERVICES INC,REID HEALTH,AM,ACQUISITION/MERGER,07/16/2019,O20070404000006,IN,00-09,PART A PROVIDER - HOSPITAL,1508825720,N,150064,1456263334,FAYETTE MEMORIAL HOSPITAL ASSOCIATION INC,FAYETTE REGIONAL HEALTH SYSTEM
O20070531000019,VA,00-09,PART A PROVIDER - HOSPITAL,1992878813,N,49S075,5496782385,DANVILLE REGIONAL MEDICAL CENTER LLC,SOVAH HEALTH,AM,ACQUISITION/MERGER,10/01/2017,O20070402000108,VA,00-09,PART A PROVIDER - HOSPITAL,1629144696,N,49S079,0446169403,PHC-MARTINSVILLE INC,SOVAH HEALTH MARTINSVILLE
O20070810000156,CA,00-09,PART A PROVIDER - HOSPITAL,1073665360,N,050082,2062320559,DIGNITY HEALTH,ST. JOHN'S HOSPITAL CAMARILLO,AM,ACQUISITION/MERGER,01/31/2020,O20070724000626,CA,00-09,PART A PROVIDER - HOSPITAL,1194877332,N,050616,2062320559,DIGNITY HEALTH,ST JOHNS PLEASANT VALLEY HOSPITAL
O20071008000211,OH,00-09,PART A PROVIDER - HOSPITAL,1467493551,N,360112,2466444906,MERCY HEALTH - ST VINCENT MEDICAL CENTER LLC,MERCY HEALTH ST. VINCENT MEDICAL CENTER,AM,ACQUISITION/MERGER,03/01/2022,O20071008000001,OH,00-09,PART A PROVIDER - HOSPITAL,1497792568,N,360081,3779571278,MERCY HEALTH-ST CHARLES HOSPITAL LLC,MERCY HEALTH-ST CHARLES HOSPITAL
O20071008000211,OH,00-09,PART A PROVIDER - HOSPITAL,1467493551,N,360112,2466444906,MERCY HEALTH - ST VINCENT MEDICAL CENTER LLC,MERCY HEALTH ST. VINCENT MEDICAL CENTER,AM,ACQUISITION/MERGER,03/01/2022,O20071008000257,OH,00-09,PART A PROVIDER - HOSPITAL,1801815576,N,36S081,3779571278,MERCY HEALTH-ST CHARLES HOSPITAL LLC,MERCY HEALTH-ST CHARLES HOSPITAL
O20071008000211,OH,00-09,PART A PROVIDER - HOSPITAL,1467493551,N,360112,2466444906,MERCY HEALTH - ST VINCENT MEDICAL CENTER LLC,MERCY HEALTH ST. VINCENT MEDICAL CENTER,AM,ACQUISITION/MERGER,03/01/2022,O20071008000288,OH,00-09,PART A PROVIDER - HOSPITAL,1992724660,N,36T081,3779571278,MERCY HEALTH-ST CHARLES HOSPITAL LLC,MERCY HEALTH-ST CHARLES HOSPITAL
O20071008000211,OH,00-09,PART A PROVIDER - HOSPITAL,1467493551,N,360112,2466444906,MERCY HEALTH - ST VINCENT MEDICAL CENTER LLC,MERCY HEALTH ST. VINCENT MEDICAL CENTER,AM,ACQUISITION/MERGER,03/01/2022,O20071008000505,OH,00-09,PART A PROVIDER - HOSPITAL,1912954553,N,360262,0749175719,MERCY HEALTH - ST ANNE HOSPITAL LLC,MERCY HEALTH - ST ANNE HOSPITAL
O20071018000328,IA,00-09,PART A PROVIDER - HOSPITAL,1134168263,N,160057,3870496417,SOUTHEAST IOWA REGIONAL MEDICAL CENTER INC,,AM,ACQUISITION/MERGER,07/01/2021,O20070524000536,IA,00-09,PART A PROVIDER - HOSPITAL,1902810856,Y,160122,8729971841,FORT MADISON COMMUNITY HOSPITAL,
O20071112000285,PA,00-09,PART A PROVIDER - HOSPITAL,1588770416,Y,390037,8325956592,VALLEY MEDICAL FACILITIES INC,HERITAGE VALLEY SEWICKLEY,AM,ACQUISITION/MERGER,07/01/2023,O20200623002486,PA,00-09,PART A PROVIDER - HOSPITAL,1073598439,N,390157,8325956592,VALLEY MEDICAL FACILITIES INC,HERITAGE VALLEY KENNEDY
O20071127000446,OH,00-09,PART A PROVIDER - HOSPITAL,1508835828,Y,360134,1759398720,"THE GOOD SAMARITAN HOSPITAL OF CINCINNATI, OHIO",GOOD SAMARITAN HOSPITAL,AM,ACQUISITION/MERGER,10/01/2020,O20130219000335,OH,00-09,PART A PROVIDER - HOSPITAL,1053655738,N,360362,3375798507,"TRIHEALTH HOSPITAL, INC",TRIHEALTH EVENDALE HOSPITAL
O20071128000310,CA,00-09,PART A PROVIDER - HOSPITAL,1184722779,N,050025,2769376938,REGENTS OF THE UNIVERSITY OF CALIFORNIA,UCSD MEDICAL CENTER,AM,ACQUISITION/MERGER,12/11/2023,O20070130000237,CA,00-09,PART A PROVIDER - HOSPITAL,1265468946,N,050757,7416958970,"ALVARADO HOSPITAL, LLC",ALVARADO HOSPITAL MEDICAL CENTER
O20071205000618,PA,00-09,PART A PROVIDER - HOSPITAL,1235138405,N,390030,4183525959,LEHIGH VALLEY HOSPITAL - SCHUYLKILL,LEHIGH VALLEY HOSPITAL SCHUYLKILL S JACKSON STREET,AM,ACQUISITION/MERGER,05/26/2018,O20080528000269,PA,00-09,PART A PROVIDER - HOSPITAL,1427050376,N,390031,6204744162,SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET,LEHIGH VALLEY HOSPITAL-SCHUYLKILL E. NORWEGIAN STREET
O20071207000726,CA,00-09,PART A PROVIDER - HOSPITAL,1689608150,Y,050348,5395658181,UNIVERSITY OF CALIFORNIA IRVINE,UCI HEALTH,AM,ACQUISITION/MERGER,04/01/2025,O20240624000630,CA,00-09,PART A PROVIDER - HOSPITAL,1568493922,N,050551,5395658181,UNIVERSITY OF CALIFORNIA IRVINE,UCI HEALTH - LOS ALAMITOS
O20071207000726,CA,00-09,PART A PROVIDER - HOSPITAL,1689608150,Y,050348,5395658181,UNIVERSITY OF CALIFORNIA IRVINE,UCI HEALTH,AM,ACQUISITION/MERGER,04/01/2025,O20240624001179,CA,00-09,PART A PROVIDER - HOSPITAL,1821002007,N,050570,5395658181,UNIVERSITY OF CALIFORNIA IRVINE,UCI HEALTH - FOUNTAIN VALLEY
O20071207000726,CA,00-09,PART A PROVIDER - HOSPITAL,1689608150,Y,050348,5395658181,UNIVERSITY OF CALIFORNIA IRVINE,UCI HEALTH,AM,ACQUISITION/MERGER,04/01/2025,O20240625000242,CA,00-09,PART A PROVIDER - HOSPITAL,1700817756,N,050589,5395658181,UNIVERSITY OF CALIFORNIA IRVINE,UCI HEALTH - PLACENTIA LINDA
