"ENROLLMENT ID","NPI"
O20041122000535,1366481632
O20050112001172,1154428688
O20050112001172,1679608640
O20050315000791,1174590608
O20050420000337,1811992472
O20060821000058,1578581542
O20070313000196,1174797328
O20070827000789,1801917497
O20070830000029,1740473750
O20070925000493,1710256177
O20070927000970,1033112701
O20071113000465,1265751275
O20071129000274,1962510735
O20080717000335,1508865627
O20100607000906,1356528640
O20100809000414,1699747659
O20100910000205,1366478042
O20101006000213,1386057420
O20110408000682,1467637553
O20120213000235,1801893664
O20120725000565,1932283132
O20130122000276,1407839590
O20130603000685,1093224578
O20140612000883,1629495569
O20160128002331,1508239880
O20180213000318,1649781824
O20180213001934,1861903635
O20200608001593,1942801899
O20210215000794,1841809415
O20211130003199,1497416457
O20220406001589,1992443949
O20220413000459,1831837889
O20220826002324,1831832633
